rose0@fedora:~/Projects/deepitytest$ python test.py
Fetching full MNIST dataset (70,000 images)...

Starting Full Batched MNIST PCN Training (60000 samples, Batch Size: 256)...
  Epoch 1/50 | LR: 0.060000 | Batch 200/234 | Avg Batch Energy: 2621.1348 | Time: 63.72576 sec
  Epoch 2/50 | LR: 0.058800 | Batch 200/234 | Avg Batch Energy: 1492.7306 | Time: 64.99248 sec
  Epoch 3/50 | LR: 0.057624 | Batch 200/234 | Avg Batch Energy: 1194.5054 | Time: 61.17026 sec
  Epoch 4/50 | LR: 0.056472 | Batch 200/234 | Avg Batch Energy: 1031.7386 | Time: 58.66720 sec
  Epoch 5/50 | LR: 0.055342 | Batch 200/234 | Avg Batch Energy: 983.9116 | Time: 57.78906 sec
  Epoch 6/50 | LR: 0.054235 | Batch 200/234 | Avg Batch Energy: 847.0551 | Time: 55.02448 sec
  Epoch 7/50 | LR: 0.053151 | Batch 200/234 | Avg Batch Energy: 829.7652 | Time: 54.19589 sec
  Epoch 8/50 | LR: 0.052088 | Batch 200/234 | Avg Batch Energy: 743.2756 | Time: 54.02360 sec
  Epoch 9/50 | LR: 0.051046 | Batch 200/234 | Avg Batch Energy: 693.4940 | Time: 55.08620 sec
  Epoch 10/50 | LR: 0.050025 | Batch 200/234 | Avg Batch Energy: 752.5950 | Time: 55.29173 sec
  Epoch 11/50 | LR: 0.049024 | Batch 200/234 | Avg Batch Energy: 613.2090 | Time: 52.56695 sec
  Epoch 12/50 | LR: 0.048044 | Batch 200/234 | Avg Batch Energy: 504.7356 | Time: 51.67273 sec
  Epoch 13/50 | LR: 0.047083 | Batch 200/234 | Avg Batch Energy: 501.4094 | Time: 51.10183 sec
  Epoch 14/50 | LR: 0.046141 | Batch 200/234 | Avg Batch Energy: 511.8660 | Time: 50.40040 sec
  Epoch 15/50 | LR: 0.045219 | Batch 200/234 | Avg Batch Energy: 446.1115 | Time: 47.67877 sec
  Epoch 16/50 | LR: 0.044314 | Batch 200/234 | Avg Batch Energy: 415.2539 | Time: 47.91657 sec
  Epoch 17/50 | LR: 0.043428 | Batch 200/234 | Avg Batch Energy: 376.4767 | Time: 47.11852 sec
