epoch,energy,time_taken
1,2621.1348,63.72576
2,1492.7306,64.99248
3,1194.5054,61.17026
4,1031.7386,58.66720
5,983.9116,57.78906
6,847.0551,55.02448
7,829.7652,54.19589
8,743.2756,54.02360
9,693.4940,55.08620
10,752.5950,55.29173
11,613.2090,52.56695
12,504.7356,51.67273
13,501.4094,51.10183
14,511.8660,50.40040
15,446.1115,47.67877
16,415.2539,47.91657
17,376.4767,47.11852
18,368.5430,49.87624
19,325.9405,49.63881
20,323.6370,49.74329
21,298.8842,49.25112
22,278.8836,49.31174
23,276.0820,46.83296
24,260.2145,46.82856
25,251.4918,46.77760
26,243.9763,46.69295
27,239.1437,46.87114
28,231.1686,46.65665
29,224.5660,46.82609
30,217.9281,46.78437
31,212.8896,46.72667
32,208.1796,46.85282
33,204.3728,46.83034
34,199.0045,46.67544
35,195.4769,46.60032
36,191.7853,46.94628
37,188.6303,46.57753
38,184.9957,46.62233
39,182.5664,92.99764
40,180.3000,91.61747
41,177.9083,91.54620
42,175.6195,91.05145
43,174.0099,90.27195
44,172.0475,89.09563
45,170.5594,93.24988
46,169.7826,94.90939
47,168.1409,90.74702
48,167.3214,87.15882
49,166.1691,83.30885
50,165.3567,83.80578
