rose0@fedora:~/Projects/deepity$ ./build/Release/bin/DeepityTests
2026-07-18T18:22:31-04:00
Running ./build/Release/bin/DeepityTests
Run on (20 X 1077.4 MHz CPU s)
CPU Caches:
  L1 Data 48 KiB (x10)
  L1 Instruction 32 KiB (x10)
  L2 Unified 1280 KiB (x10)
  L3 Unified 24576 KiB (x1)
Load Average: 2.07, 1.20, 0.99
----------------------------------------------------------------------------------------
Benchmark                              Time             CPU   Iterations UserCounters...
----------------------------------------------------------------------------------------
BM_Tanh/32                          52.6 ns         51.6 ns     12531688 items_per_second=620.543M/s
BM_Tanh/256                          408 ns          408 ns      1637872 items_per_second=628.14M/s
BM_Tanh/1024                        1617 ns         1613 ns       434723 items_per_second=634.756M/s
BM_Tanh/4096                        6284 ns         6272 ns       108677 items_per_second=653.066M/s
BM_Tanh/16384                      26100 ns        26041 ns        26874 items_per_second=629.162M/s
BM_dTanh/32                          145 ns          144 ns      4865314 items_per_second=221.638M/s
BM_dTanh/256                        1130 ns         1128 ns       613323 items_per_second=226.953M/s
BM_dTanh/1024                       4497 ns         4489 ns       149548 items_per_second=228.103M/s
BM_dTanh/4096                      18021 ns        17991 ns        38944 items_per_second=227.665M/s
BM_dTanh/16384                     74189 ns        74053 ns         9579 items_per_second=221.247M/s
BM_ReLU/32                          2.14 ns         2.14 ns    320245503 items_per_second=14.9838G/s
BM_ReLU/256                         11.1 ns         11.1 ns     61237491 items_per_second=23.1411G/s
BM_ReLU/1024                        42.2 ns         42.2 ns     16638739 items_per_second=24.2924G/s
BM_ReLU/4096                         150 ns          150 ns      4665920 items_per_second=27.2987G/s
BM_ReLU/16384                        924 ns          922 ns       748110 items_per_second=17.7796G/s
BM_dReLU/32                         2.68 ns         2.67 ns    271182930 items_per_second=11.9665G/s
BM_dReLU/256                        17.7 ns         17.0 ns     38059922 items_per_second=15.061G/s
BM_dReLU/1024                       65.2 ns         63.9 ns     10708934 items_per_second=16.0307G/s
BM_dReLU/4096                        276 ns          272 ns      2598124 items_per_second=15.0514G/s
BM_dReLU/16384                      1086 ns         1083 ns       641823 items_per_second=15.1347G/s
BM_Sigmoid/32                       6.56 ns         6.54 ns    107314393 items_per_second=4.88965G/s
BM_Sigmoid/256                      45.8 ns         45.6 ns     15426910 items_per_second=5.613G/s
BM_Sigmoid/1024                      178 ns          178 ns      3935695 items_per_second=5.76111G/s
BM_Sigmoid/4096                      713 ns          711 ns       983940 items_per_second=5.76264G/s
BM_Sigmoid/16384                    2975 ns         2847 ns       245672 items_per_second=5.75579G/s
BM_dSigmoid/32                      9.77 ns         9.75 ns     71761994 items_per_second=3.28333G/s
BM_dSigmoid/256                     50.3 ns         50.2 ns     13567689 items_per_second=5.09613G/s
BM_dSigmoid/1024                     227 ns          227 ns      3081261 items_per_second=4.51194G/s
BM_dSigmoid/4096                     947 ns          945 ns       744395 items_per_second=4.33574G/s
BM_dSigmoid/16384                   3904 ns         3897 ns       179888 items_per_second=4.20426G/s
BM_Linear/32                       0.217 ns        0.216 ns   3257660350 items_per_second=147.832G/s
BM_Linear/256                      0.215 ns        0.214 ns   3265306503 items_per_second=1.19477T/s
BM_Linear/1024                     0.218 ns        0.218 ns   3244880999 items_per_second=4.69384T/s
BM_Linear/4096                     0.215 ns        0.214 ns   3246962884 items_per_second=19.117T/s
BM_Linear/16384                    0.214 ns        0.214 ns   3189745395 items_per_second=76.6079T/s
BM_dLinear/32                      16854 ns        10303 ns        70099 items_per_second=3.10589M/s
BM_dLinear/256                     17357 ns        10489 ns        61637 items_per_second=24.4076M/s
BM_dLinear/1024                    17928 ns        10574 ns        63295 items_per_second=96.8398M/s
BM_dLinear/4096                    17680 ns        10527 ns        62037 items_per_second=389.081M/s
